,Unnamed: 0,Review Content,cleanedReviews,sentiment_scores,sentiment_category,is_bad_review,nb_chars,nb_words
0,0,"  Awesome product !Mind blowing performence...Everythin working fine ...Bass is awesomeSound cleartiy is awesome ...Looks very cool ....BT working very well ..Thank you amezon for fastest delivery and thank you to zebronic company .Dont think so much about it ...just buy it😊😊😊😊

",awesome product mind blow performence...everythin work fine bass awesomesound cleartiy awesome look cool bt work well thank amezon fast delivery thank zebronic company dont think much buy it😊😊😊😊,0.431,positive,0,194,28
1,1,"  Okay product but my honest review is to go for another one coz it makes a loud hiss sound when the equipment is plugged in and not in use .. The noise become un-bearable after few hours coz it gets amplified

",okay product honest review go another one coz make loud hiss sound equipment plug use noise become un-bearable hour coz get amplified,0.4,positive,0,133,22
2,2,"  I just loved this product at 2K. It's an awesome buy at this price. Look wise very good... Loved the finish n highlight was changing colors.  Very easy to connect n use. Manual given along doesn't give a  detailed information though. The quality of sounds also gr8. Even at volume 8-10 gives a high sound. Easily plays music from my mobile phone via Bluetooth. Remote given is decedent.

",love product awesome buy price look wise good love finish highlight change color easy connect use manual give along give detailed information though quality sound also even volume give high sound easily play music mobile phone via bluetooth remote give decedent.,0.461,positive,0,262,41
3,3,"  I was really confused as to what to buy, then my father advised me to go for this as he is an engineer and knows in and out of electronics, I ordered it. When I switched it on, I paired it with my mobile and played some songs but the sound was really low, even from the knob available on the main woofer didn't increase much sound. After reading the manual I got to know about volume increase from remote and from the next button on the main woofer. Once you increase the volume from the remote or ""Next"" button on main woofer you'll be amazed with the sound and bass.PS: Also there's one hidden setting, you have to attach the USB  and change to USB mode and then you can even select the different settings from remote like ""Pop"",""Classic"" etc for different sound effects

","really confused buy father advise go engineer know electronics order switch pair mobile play song sound really low even knob available main woofer increase much sound read manual get know volume increase remote next button main woofer increase volume remote next button main woofer amaze sound bass.ps also there's one hidden set attach usb change usb mode even select different setting remote like pop"",""classic etc different sound effects",0.095,positive,0,440,68
4,4,"  Good product.after one week of use 1aux(led TV output) 4/5.2 FM 4/5 3 bt 4/5. USB 4.5/5 good sound quality& bass for this price. Speakers build quality sturdy(wooden).remode is good. Look is good.vip note USB will be detected only if it contains mp3 audio files.if u have mp4 video songs only it will not function.only deliver person behaviour is bad

",good product.after one week use tv output fm bt usb good sound quality bass price build quality sturdy(wooden).remode good look good.vip note usb detect contains audio files.if video song function.only deliver person behaviour bad,0.275,positive,0,230,34
5,5,"  Fully satisfied...Nice bass and treble ..Just awwsome....somtimes feel missing the bass switch to control the bass ! The best home theater under rs.2600...Average brand with best deal ....

",fully satisfied...nice bass treble awwsome....somtimes feel miss bass switch control bass best home theater brand best deal,0.31,positive,0,123,17
6,6,"  Zebronics products are use and throw,  they are VFM.  Have decent performance,  good till they last and reasonably priced.But they last only for a few months post warranty expiry.This is my second such experience,  I bought this in July 2017and this one's gone in may1029.Earlier I had zebronics Bluetooth handy speaker and that too died after 1.5yrs...Enjoy till it lasts

",zebronics product use throw vfm decent performance good till last reasonably priced.but last month post warranty expiry.this second experience buy july one's go zebronics bluetooth handy die till lasts,0.238,positive,0,201,29
7,7,"  Product is ok. You can't change bass and treble from main deck. And also there is no equalizer settings for aux. Equalizer will work only in USB and MMC. Sound output is above average. Good product quality. Dancing LED on main deck is attractive.Delivery from Amazon is worst. Took another 2 days for delivery after they promised.

",product ok can't change bass treble main deck also equalizer setting aux equalizer work usb mmc sound output average good product quality dance lead main deck attractive.delivery bad take another day delivery promised.,0.117,positive,0,218,33
8,8,"  Awesome Product By Zebronics and Amazon Sound Quality is Superb Loudness is Average But Bass is More Than i Expected. Overall its a Best and Value for Money Product under 3000 rupees. Go for it Blindly. I Brought it for 2,299 rupees in Amazon special price drop offer.

",awesome product zebronics sound quality superb loudness average bass expect overall best value money product rupee go blindly bring rupee special price drop offer.,0.329,positive,0,163,24
9,9,"  I am not really satisfied with the product, but it costed me only 2300 bucks I can't be too harsh on this. Actually it is quite good for listening music but of your re watching a video or a movie, vocals aren't very clear, words are just muffled and your are not able to understand the dailouges. Mostly it is due to the subwoofer, as the bass can't be turned off it just keeps beating even when bot needed and that destorys the vocals.Bass is really good though, real treat for bass lovers. But wierd thing is, it just starts beating anywhere, sometimes in really sad scenes 😂😂.There is also some problem with Bluetooth, it disconnects and reconnects automatically while playing (but this is just problem with my unit).But you won't get a better speaker for this price, so if you have a tight budget go for it.Reviews after 4 months of use ☺️

",really satisfied product cost buck can't harsh actually quite good listening music watch video movie vocal clear word muffle able understand dailouges mostly due subwoofer bass can't turn keep beat even bot needed destorys vocals.bass really good though real treat bass lover wierd thing start beat anywhere sometimes really sad scene 😂😂.there also problem bluetooth disconnect reconnects automatically play problem unit).but get good price tight budget go it.reviews month use ☺️,0.15,positive,0,480,71
10,10,"  Product worked only for two weeks.....not working properly now.........neither I am getting any support to get it repaired......worst product......sheer wastage of money.....

",product work two weeks.....not work properly now.........neither get support get repaired......worst product......sheer wastage money.....,0.0,neutral,0,138,14
